Report Date,6-Jan-11,,Preparation Procedure:,,Doc no 24
,,Assay Method,,Doc 600,Doc 600,Doc 600,Doc 600,Doc 600,Doc 600,Doc 214,Doc 214,Doc 214,Doc 819
,,Sample,Replicates,Au,Au,Pt,Pt,Pd,Pd,Ni,S,Cu,-106um
,,UNITS,,ppb,ppb,ppb,ppb,ppb,ppb,ppm,ppm,ppm,Grams
Report#,Sequence,Lower Detection Limit,,       1,       1,       1,       1,       1,       1,       2,      50,       2,     0.1
u146728,1,TB0202,,-1,,10,,5,,88,150,34,
u146728,2,TB0203,,1,,20,,2,,84,100,32,
u146728,3,TB0204,,-1,,7,,2,,76,150,36,93.0
u146728,4,TB0205,,-1,,4,,1,,84,100,36,
u146728,5,TB0206,,154,,846,,940,,2060,10100,1380,
u146728,6,TB0207,,-1,,7,,2,,84,150,34,
u146728,7,TB0208,,1,,17,,3,,98,150,42,
u146728,8,TB0209,,1,,33,,3,,90,350,30,
u146728,9,TB0209,Rpt,2,,39,,3,,92,300,28,
u146728,10,TB0210,,29,28,371,362,164,163,792,650,234,
u146728,11,TB0211,,-1,,5,,2,,564,200,72,
u146728,12,TB0211,Rpt,-1,,5,,2,,568,200,72,
u146728,13,TB0212,,-1,,2,,4,,574,150,40,
u146728,14,TB0213,,-1,,3,,3,,510,150,32,
u146728,15,TB0214,,-1,,2,,1,,506,100,26,
u146728,16,TB0215,,-1,,2,,-1,,520,150,30,
u146728,17,TB0216,,1,,2,,-1,,490,100,32,
u146728,18,TB0216CRD,,-1,,3,,1,,486,100,32,
u146728,19,TB0217,,1,,1,,-1,,486,100,30,
u146728,20,TB0218,,2,,5,,2,,472,150,26,
u146728,21,TB0219,,4,,7,,6,,508,150,32,
u146728,22,TB0220,,50,50,40,36,47,47,688,500,140,
u146728,23,TB0221,,9,,3,,3,,542,600,106,
u146728,24,TB0222,,-1,,-1,,-1,,10,50,8,
u146728,25,TB0223,,5,,3,,3,,550,450,86,
u146728,26,TB0224,,163,,163,,144,,2670,7850,1420,90.2
u146728,27,TB0225,,428,584,272,249,254,260,4020,16700,2340,
u146728,28,TB0226,,75,,412,,538,,2360,8550,1310,
u146728,29,TB0227,,18,,7,,40,,210,2000,286,
u146728,30,TB0228,,-1,,-1,,-1,,26,900,150,
u146728,31,TB0228,Rpt,1,,-1,,-1,,28,950,142,
u146728,32,TB0229,,136,,117,,125,,1600,5400,1290,
u146728,33,TB0230,,4,,3,,92,,164,1050,70,
u146728,34,TB0230,Rpt,5,,4,,89,,160,1000,64,
u146728,35,TB0231,,112,,833,,807,,2460,3550,724,
u146728,36,TB0232,,49,,84,,47,,884,1150,264,
u146728,37,TB0233,,80,,207,,163,,972,1550,328,
u146728,38,TB0234,,33,,75,,46,,760,950,162,
u146728,39,TB0235,,34,,59,,23,,710,1150,158,
u146728,40,TB0236,,10,,11,,4,,588,500,82,
u146728,41,TB0236CRD,,12,,12,,4,,582,500,80,
u146728,42,TB0237,,122,127,686,681,559,535,1840,10800,1130,
u146728,43,TB0238,,108,,279,,230,,1140,2350,364,
u146728,44,TB0239,,319,147,200,190,201,194,842,3600,816,
u146728,45,TB0240,,60,,223,,184,,970,5350,662,
u146728,46,TB0241,,31,,37,,19,,690,2050,194,
u146728,47,TB0242,,31,,41,,36,,682,7400,218,
u146728,48,TB0243,,33,,34,,9,,668,850,190,
u146728,49,TB0244,,-1,,-1,,-1,,12,50,12,97.8
u146728,50,TB0245,,40,,57,,15,,722,900,220,
u146728,51,TB0246,,334,,1700,,1670,,3470,9400,1710,
u146728,52,TB0247,,31,,38,,11,,684,1200,178,
u146728,53,TB0248,,31,,27,,9,,638,800,150,
u146728,54,TB0249,,102,92,297,271,188,183,1080,1250,378,
u146728,55,TB0250,,79,,158,,90,,838,1300,250,
u146728,56,TB0251,,46,,71,,21,,672,1100,162,
u146728,57,TB0252,,32,,54,,16,,632,900,144,
u146728,58,TB0253,,27,,29,,11,,602,650,126,
u146728,59,TB0254,,36,,74,,22,,664,1100,180,
u146728,60,TB0255,,36,,69,,19,,582,1600,168,
u146728,61,TB0256,,18,15,3,3,1,1,188,1950,576,
u146728,62,TB0256CRD,,11,,2,,1,,188,1900,566,
u146728,63,TB0257,,21,,28,,8,,576,650,108,
u146728,64,TB0258,,33,,62,,20,,646,750,132,
u146728,65,TB0259,,43,,100,,35,,724,1000,190,
u146728,66,TB0260,,37,,69,,21,,622,700,140,
u146728,67,TB0261,,13,,33,,8,,486,500,72,
u146728,68,TB0261,Rpt,13,,34,,8,,486,500,72,
u146728,69,TB0262,,15,,29,,8,,528,700,86,
u146728,70,TB0263,,24,,61,,18,,568,750,134,
u146728,71,TB0264,,42,,116,,41,,646,1100,178,90.9
u146728,72,TB0264,Rpt,47,,120,,44,,654,1050,180,
u146728,73,TB0265,,44,,108,,37,,664,750,176,
u146728,74,TB0266,,205,,1260,,1660,,3360,9900,1750,
u146728,75,TB0267,,2,,3,,1,,18,50,10,
u146728,76,TB0268,,33,,101,,41,,624,1050,154,
u146728,77,TB0269,,43,,141,,51,,640,1250,148,
u146728,78,TB0270,,31,,109,,30,,470,1050,168,
u146728,79,TB0271,,167,,723,,632,,1400,4600,554,
u146728,80,TB0272,,74,,496,,472,,980,2450,456,
u146728,81,TB0273,,26,,94,,60,,578,750,130,
u146728,82,TB0274,,49,,190,,54,,658,1150,172,
u146728,83,TB0275,,26,,42,,16,,588,750,118,
u146728,84,TB0276,,43,,80,,27,,664,1000,158,
u146728,85,TB0276CRD,,38,,74,,24,,664,950,154,
u146728,86,TB0277,,23,,38,,10,,582,650,102,
u146728,87,TB0278,,19,,57,,17,,576,850,84,
u146728,88,TB0279,,31,,91,,30,,628,1050,132,
u146728,89,TB0280,,50,,121,,41,,756,1250,198,
u146728,90,TB0281,,26,,55,,18,,584,650,114,
u146728,91,TB0282,,15,,26,,5,,522,350,86,
u146728,92,TB0283,,11,,31,,11,,538,550,72,
u146728,93,TB0284,,26,,117,,41,,628,750,106,95.2
u146728,94,TB0285,,44,,136,,51,,648,1000,142,
u146728,95,TB0286,,133,184,451,459,496,456,2380,1450,1460,
u146728,96,TB0287,,44,,140,,48,,674,1050,166,
u146728,97,TB0288,,37,,119,,40,,628,1550,134,
u146728,98,TB0289,,-1,,-1,,-1,,8,50,10,
u146728,99,TB0290,,59,,107,,46,,580,1100,146,
u146728,100,TB0291,,61,,66,,19,,536,1350,574,
u146728,101,TB0292,,42,,152,,50,,708,1000,172,
u146728,102,TB0293,,68,,224,,86,,750,1350,214,
u146728,103,TB0294,,79,83,243,260,111,119,792,3100,250,
u146728,104,TB0294,Rpt,84,,308,,134,,812,3200,252,
u146728,105,TB0295,,51,,196,,84,,590,1950,144,
u146728,106,TB0296,,378,,1870,,1560,,1980,6100,938,
